,Country,GDP(constant dollars),Rank,Years
149,Sierra Leone,5.2,150,1960 - 2021
150,Maldives,5.1,151,1995 - 2021
151,Swaziland,4.7,152,1970 - 2021
152,Montenegro,4.6,153,1997 - 2021
153,Suriname,4.3,154,1960 - 2021
154,Barbados,4.2,155,1974 - 2021
155,Fiji,4.1,156,1960 - 2021
156,Burundi,3.3,157,1960 - 2021
157,Liberia,3.3,158,2000 - 2021
158,Aruba,3.2,159,1986 - 2021
159,Djibouti,3.2,160,2013 - 2021
160,Andorra,2.9,161,1970 - 2021
161,Belize,2.3,162,1960 - 2021
162,Bhutan,2.3,163,1980 - 2021
163,Lesotho,2.2,164,1960 - 2021
164,C.A. Republic,2,165,1960 - 2021
165,Gambia,1.8,166,1966 - 2021
166,Cape Verde,1.7,167,1980 - 2021
167,Saint Lucia,1.7,168,1977 - 2021
168,Seychelles,1.7,169,1960 - 2021
169,Ant.& Barb.,1.4,170,1977 - 2021
170,Solomon Isl.,1.4,171,1980 - 2021
171,G.-Bissau,1.3,172,1970 - 2021
172,Comoros,1.1,173,1980 - 2021
173,Grenada,1,174,1977 - 2021
174,St. Vincent & ...,0.8,175,1960 - 2021
175,Samoa,0.8,176,1982 - 2021
176,Vanuatu,0.8,177,1979 - 2021
177,Dominica,0.5,178,1977 - 2021
178,Tonga,0.5,179,1981 - 2021
179,S.T.&Principe,0.4,180,2001 - 2021
180,Micronesia,0.3,181,1986 - 2021
181,Kiribati,0.2,182,1970 - 2021
182,Palau,0.2,183,2000 - 2021
183,Tuvalu,0,184,1990 - 2021
